"Notes","MCD - ICD Sub-Chapter","MCD - ICD Sub-Chapter Code","Year","Year Code","Sex","Sex Code","Single Race 6","Single Race 6 Code","Ten-Year Age Groups","Ten-Year Age Groups Code",Deaths,Population,Crude Rate
,"Other bacterial diseases","A30-A49","2022","2022","Female","F","Asian","A","75-84 years","75-84",154,473397,32.5
,"Other bacterial diseases","A30-A49","2022","2022","Female","F","Asian","A","85+ years","85+",157,213119,73.7
,"Other bacterial diseases","A30-A49","2022","2022","Female","F","Black or African American","2054-5","25-34 years","25-34",32,3523463,0.9
,"Other bacterial diseases","A30-A49","2022","2022","Female","F","Black or African American","2054-5","35-44 years","35-44",92,3141280,2.9
,"Other bacterial diseases","A30-A49","2022","2022","Female","F","Black or African American","2054-5","45-54 years","45-54",228,2832024,8.1
,"Other bacterial diseases","A30-A49","2022","2022","Female","F","Black or African American","2054-5","55-64 years","55-64",553,2807115,19.7
,"Other bacterial diseases","A30-A49","2022","2022","Female","F","Black or African American","2054-5","65-74 years","65-74",783,2045389,38.3
,"Other bacterial diseases","A30-A49","2022","2022","Female","F","Black or African American","2054-5","75-84 years","75-84",642,938959,68.4
,"Other bacterial diseases","A30-A49","2022","2022","Female","F","Black or African American","2054-5","85+ years","85+",519,372024,139.5
,"Other bacterial diseases","A30-A49","2022","2022","Female","F","Native Hawaiian or Other Pacific Islander","NHOPI","65-74 years","65-74",13,28347,Unreliable
,"Other bacterial diseases","A30-A49","2022","2022","Female","F","White","2106-3","25-34 years","25-34",127,15996405,0.8
,"Other bacterial diseases","A30-A49","2022","2022","Female","F","White","2106-3","35-44 years","35-44",329,15802633,2.1
,"Other bacterial diseases","A30-A49","2022","2022","Female","F","White","2106-3","45-54 years","45-54",859,15113753,5.7
,"Other bacterial diseases","A30-A49","2022","2022","Female","F","White","2106-3","55-64 years","55-64",2196,16804292,13.1
,"Other bacterial diseases","A30-A49","2022","2022","Female","F","White","2106-3","65-74 years","65-74",3809,14486575,26.3
,"Other bacterial diseases","A30-A49","2022","2022","Female","F","White","2106-3","75-84 years","75-84",4276,8194713,52.2
,"Other bacterial diseases","A30-A49","2022","2022","Female","F","White","2106-3","85+ years","85+",3382,3547605,95.3
,"Other bacterial diseases","A30-A49","2022","2022","Female","F","More than one race","M","45-54 years","45-54",15,376981,Unreliable
,"Other bacterial diseases","A30-A49","2022","2022","Female","F","More than one race","M","55-64 years","55-64",23,300064,7.7
,"Other bacterial diseases","A30-A49","2022","2022","Female","F","More than one race","M","65-74 years","65-74",28,201470,13.9
,"Other bacterial diseases","A30-A49","2022","2022","Female","F","More than one race","M","75-84 years","75-84",25,95133,26.3
,"Other bacterial diseases","A30-A49","2022","2022","Female","F","More than one race","M","85+ years","85+",13,37955,Unreliable
,"Other bacterial diseases","A30-A49","2022","2022","Male","M","American Indian or Alaska Native","1002-5","25-34 years","25-34",13,340720,Unreliable
,"Other bacterial diseases","A30-A49","2022","2022","Male","M","American Indian or Alaska Native","1002-5","35-44 years","35-44",31,308282,10.1
,"Other bacterial diseases","A30-A49","2022","2022","Male","M","American Indian or Alaska Native","1002-5","45-54 years","45-54",34,258550,13.2
,"Other bacterial diseases","A30-A49","2022","2022","Male","M","American Indian or Alaska Native","1002-5","55-64 years","55-64",36,224433,16.0
,"Other bacterial diseases","A30-A49","2022","2022","Male","M","American Indian or Alaska Native","1002-5","65-74 years","65-74",43,141015,30.5
,"Other bacterial diseases","A30-A49","2022","2022","Male","M","American Indian or Alaska Native","1002-5","75-84 years","75-84",28,58147,48.2
,"Other bacterial diseases","A30-A49","2022","2022","Male","M","American Indian or Alaska Native","1002-5","85+ years","85+",11,15909,Unreliable
,"Other bacterial diseases","A30-A49","2022","2022","Male","M","Asian","A","25-34 years","25-34",13,1638567,Unreliable
,"Other bacterial diseases","A30-A49","2022","2022","Male","M","Asian","A","35-44 years","35-44",13,1630740,Unreliable
,"Other bacterial diseases","A30-A49","2022","2022","Male","M","Asian","A","45-54 years","45-54",48,1383230,3.5
,"Other bacterial diseases","A30-A49","2022","2022","Male","M","Asian","A","55-64 years","55-64",90,1071189,8.4
,"Other bacterial diseases","A30-A49","2022","2022","Male","M","Asian","A","65-74 years","65-74",172,763351,22.5
,"Other bacterial diseases","A30-A49","2022","2022","Male","M","Asian","A","75-84 years","75-84",194,365486,53.1
,"Other bacterial diseases","A30-A49","2022","2022","Male","M","Asian","A","85+ years","85+",164,125459,130.7
,"Other bacterial diseases","A30-A49","2022","2022","Male","M","Black or African American","2054-5","25-34 years","25-34",69,3541054,1.9
,"Other bacterial diseases","A30-A49","2022","2022","Male","M","Black or African American","2054-5","35-44 years","35-44",118,2945414,4.0
,"Other bacterial diseases","A30-A49","2022","2022","Male","M","Black or African American","2054-5","45-54 years","45-54",249,2550255,9.8
,"Other bacterial diseases","A30-A49","2022","2022","Male","M","Black or African American","2054-5","55-64 years","55-64",549,2438499,22.5
,"Other bacterial diseases","A30-A49","2022","2022","Male","M","Black or African American","2054-5","65-74 years","65-74",860,1565128,54.9
,"Other bacterial diseases","A30-A49","2022","2022","Male","M","Black or African American","2054-5","75-84 years","75-84",584,597060,97.8
,"Other bacterial diseases","A30-A49","2022","2022","Male","M","Black or African American","2054-5","85+ years","85+",351,156735,223.9
,"Other bacterial diseases","A30-A49","2022","2022","Male","M","Native Hawaiian or Other Pacific Islander","NHOPI","55-64 years","55-64",13,42521,Unreliable
,"Other bacterial diseases","A30-A49","2022","2022","Male","M","White","2106-3","25-34 years","25-34",168,16862366,1.0
,"Other bacterial diseases","A30-A49","2022","2022","Male","M","White","2106-3","35-44 years","35-44",504,16677220,3.0
,"Other bacterial diseases","A30-A49","2022","2022","Male","M","White","2106-3","45-54 years","45-54",1106,15689751,7.0
,"Other bacterial diseases","A30-A49","2022","2022","Male","M","White","2106-3","55-64 years","55-64",2835,16624619,17.1
,"Other bacterial diseases","A30-A49","2022","2022","Male","M","White","2106-3","65-74 years","65-74",4646,13240100,35.1
,"Other bacterial diseases","A30-A49","2022","2022","Male","M","White","2106-3","75-84 years","75-84",4903,6628034,74.0
,"Other bacterial diseases","A30-A49","2022","2022","Male","M","White","2106-3","85+ years","85+",3043,1959884,155.3
,"Other bacterial diseases","A30-A49","2022","2022","Male","M","More than one race","M","45-54 years","45-54",15,345081,Unreliable
,"Other bacterial diseases","A30-A49","2022","2022","Male","M","More than one race","M","55-64 years","55-64",22,270642,8.1
,"Other bacterial diseases","A30-A49","2022","2022","Male","M","More than one race","M","65-74 years","65-74",23,175168,13.1
,"Other bacterial diseases","A30-A49","2022","2022","Male","M","More than one race","M","75-84 years","75-84",20,75378,26.5
,"Other bacterial diseases","A30-A49","2022","2022","Male","M","More than one race","M","85+ years","85+",13,22757,Unreliable
,"Other bacterial diseases","A30-A49","2023","2023","Female","F","American Indian or Alaska Native","1002-5","35-44 years","35-44",22,290449,7.6
,"Other bacterial diseases","A30-A49","2023","2023","Female","F","American Indian or Alaska Native","1002-5","45-54 years","45-54",22,249303,8.8
,"Other bacterial diseases","A30-A49","2023","2023","Female","F","American Indian or Alaska Native","1002-5","55-64 years","55-64",36,232793,15.5
,"Other bacterial diseases","A30-A49","2023","2023","Female","F","American Indian or Alaska Native","1002-5","65-74 years","65-74",42,166481,25.2
,"Other bacterial diseases","A30-A49","2023","2023","Female","F","American Indian or Alaska Native","1002-5","75-84 years","75-84",38,76057,50.0
,"Other bacterial diseases","A30-A49","2023","2023","Female","F","American Indian or Alaska Native","1002-5","85+ years","85+",23,26789,85.9
,"Other bacterial diseases","A30-A49","2023","2023","Female","F","Asian","A","45-54 years","45-54",24,1578860,1.5
,"Other bacterial diseases","A30-A49","2023","2023","Female","F","Asian","A","55-64 years","55-64",66,1266796,5.2
,"Other bacterial diseases","A30-A49","2023","2023","Female","F","Asian","A","65-74 years","65-74",116,1001103,11.6
,"Other bacterial diseases","A30-A49","2023","2023","Female","F","Asian","A","75-84 years","75-84",159,506740,31.4
,"Other bacterial diseases","A30-A49","2023","2023","Female","F","Asian","A","85+ years","85+",183,208271,87.9
,"Other bacterial diseases","A30-A49","2023","2023","Female","F","Black or African American","2054-5","25-34 years","25-34",35,3545558,1.0
,"Other bacterial diseases","A30-A49","2023","2023","Female","F","Black or African American","2054-5","35-44 years","35-44",91,3218047,2.8
,"Other bacterial diseases","A30-A49","2023","2023","Female","F","Black or African American","2054-5","45-54 years","45-54",197,2861316,6.9
,"Other bacterial diseases","A30-A49","2023","2023","Female","F","Black or African American","2054-5","55-64 years","55-64",481,2821718,17.0
,"Other bacterial diseases","A30-A49","2023","2023","Female","F","Black or African American","2054-5","65-74 years","65-74",725,2127575,34.1
,"Other bacterial diseases","A30-A49","2023","2023","Female","F","Black or African American","2054-5","75-84 years","75-84",569,987042,57.6
,"Other bacterial diseases","A30-A49","2023","2023","Female","F","Black or African American","2054-5","85+ years","85+",471,353611,133.2
,"Other bacterial diseases","A30-A49","2023","2023","Female","F","Native Hawaiian or Other Pacific Islander","NHOPI","55-64 years","55-64",11,44410,Unreliable
,"Other bacterial diseases","A30-A49","2023","2023","Female","F","Native Hawaiian or Other Pacific Islander","NHOPI","65-74 years","65-74",10,29935,Unreliable
,"Other bacterial diseases","A30-A49","2023","2023","Female","F","White","2106-3","25-34 years","25-34",113,16085608,0.7
,"Other bacterial diseases","A30-A49","2023","2023","Female","F","White","2106-3","35-44 years","35-44",321,16087150,2.0
,"Other bacterial diseases","A30-A49","2023","2023","Female","F","White","2106-3","45-54 years","45-54",713,15174900,4.7
,"Other bacterial diseases","A30-A49","2023","2023","Female","F","White","2106-3","55-64 years","55-64",1845,16680834,11.1
,"Other bacterial diseases","A30-A49","2023","2023","Female","F","White","2106-3","65-74 years","65-74",3299,14815045,22.3
,"Other bacterial diseases","A30-A49","2023","2023","Female","F","White","2106-3","75-84 years","75-84",4234,8521384,49.7
,"Other bacterial diseases","A30-A49","2023","2023","Female","F","White","2106-3","85+ years","85+",3352,3279678,102.2
,"Other bacterial diseases","A30-A49","2023","2023","Female","F","More than one race","M","45-54 years","45-54",15,390643,Unreliable
,"Other bacterial diseases","A30-A49","2023","2023","Female","F","More than one race","M","55-64 years","55-64",21,304015,6.9
,"Other bacterial diseases","A30-A49","2023","2023","Female","F","More than one race","M","65-74 years","65-74",33,210065,15.7
,"Other bacterial diseases","A30-A49","2023","2023","Female","F","More than one race","M","75-84 years","75-84",23,100748,22.8
,"Other bacterial diseases","A30-A49","2023","2023","Female","F","More than one race","M","85+ years","85+",16,37850,Unreliable
,"Other bacterial diseases","A30-A49","2023","2023","Male","M","American Indian or Alaska Native","1002-5","35-44 years","35-44",16,316157,Unreliable
,"Other bacterial diseases","A30-A49","2023","2023","Male","M","American Indian or Alaska Native","1002-5","45-54 years","45-54",25,260929,9.6
,"Other bacterial diseases","A30-A49","2023","2023","Male","M","American Indian or Alaska Native","1002-5","55-64 years","55-64",40,227106,17.6
,"Other bacterial diseases","A30-A49","2023","2023","Male","M","American Indian or Alaska Native","1002-5","65-74 years","65-74",36,148498,24.2
,"Other bacterial diseases","A30-A49","2023","2023","Male","M","American Indian or Alaska Native","1002-5","75-84 years","75-84",29,63233,45.9
,"Other bacterial diseases","A30-A49","2023","2023","Male","M","American Indian or Alaska Native","1002-5","85+ years","85+",11,17175,Unreliable
,"Other bacterial diseases","A30-A49","2023","2023","Male","M","Asian","A","35-44 years","35-44",22,1680517,1.3
,"Other bacterial diseases","A30-A49","2023","2023","Male","M","Asian","A","45-54 years","45-54",36,1404570,2.6
,"Other bacterial diseases","A30-A49","2023","2023","Male","M","Asian","A","55-64 years","55-64",73,1098008,6.6
,"Other bacterial diseases","A30-A49","2023","2023","Male","M","Asian","A","65-74 years","65-74",147,797839,18.4
,"Other bacterial diseases","A30-A49","2023","2023","Male","M","Asian","A","75-84 years","75-84",191,392100,48.7
,"Other bacterial diseases","A30-A49","2023","2023","Male","M","Asian","A","85+ years","85+",148,131730,112.4
,"Other bacterial diseases","A30-A49","2023","2023","Male","M","Black or African American","2054-5","25-34 years","25-34",52,3528216,1.5
,"Other bacterial diseases","A30-A49","2023","2023","Male","M","Black or African American","2054-5","35-44 years","35-44",88,3004099,2.9
,"Other bacterial diseases","A30-A49","2023","2023","Male","M","Black or African American","2054-5","45-54 years","45-54",211,2547736,8.3
,"Other bacterial diseases","A30-A49","2023","2023","Male","M","Black or African American","2054-5","55-64 years","55-64",487,2437159,20.0
,"Other bacterial diseases","A30-A49","2023","2023","Male","M","Black or African American","2054-5","65-74 years","65-74",737,1639704,44.9
,"Other bacterial diseases","A30-A49","2023","2023","Male","M","Black or African American","2054-5","75-84 years","75-84",550,640372,85.9
,"Other bacterial diseases","A30-A49","2023","2023","Male","M","Black or African American","2054-5","85+ years","85+",317,161992,195.7
,"Other bacterial diseases","A30-A49","2023","2023","Male","M","White","2106-3","25-34 years","25-34",150,16719619,0.9
,"Other bacterial diseases","A30-A49","2023","2023","Male","M","White","2106-3","35-44 years","35-44",459,16784128,2.7
,"Other bacterial diseases","A30-A49","2023","2023","Male","M","White","2106-3","45-54 years","45-54",928,15565729,6.0
,"Other bacterial diseases","A30-A49","2023","2023","Male","M","White","2106-3","55-64 years","55-64",2426,16425655,14.8
,"Other bacterial diseases","A30-A49","2023","2023","Male","M","White","2106-3","65-74 years","65-74",3996,13538439,29.5
,"Other bacterial diseases","A30-A49","2023","2023","Male","M","White","2106-3","75-84 years","75-84",4519,6974938,64.8
,"Other bacterial diseases","A30-A49","2023","2023","Male","M","White","2106-3","85+ years","85+",2826,1945723,145.2
,"Other bacterial diseases","A30-A49","2023","2023","Male","M","More than one race","M","45-54 years","45-54",14,353930,Unreliable
,"Other bacterial diseases","A30-A49","2023","2023","Male","M","More than one race","M","55-64 years","55-64",31,272292,11.4
,"Other bacterial diseases","A30-A49","2023","2023","Male","M","More than one race","M","65-74 years","65-74",20,183162,10.9
,"Other bacterial diseases","A30-A49","2023","2023","Male","M","More than one race","M","75-84 years","75-84",26,80176,32.4
,"Other bacterial diseases","A30-A49","2023","2023","Male","M","More than one race","M","85+ years","85+",13,24061,Unreliable
,"Other bacterial diseases","A30-A49","2024 (provisional)","2024","Female","F","American Indian or Alaska Native","1002-5","35-44 years","35-44",21,290449,7.2
,"Other bacterial diseases","A30-A49","2024 (provisional)","2024","Female","F","American Indian or Alaska Native","1002-5","45-54 years","45-54",24,249303,9.6
,"Other bacterial diseases","A30-A49","2024 (provisional)","2024","Female","F","American Indian or Alaska Native","1002-5","55-64 years","55-64",34,232793,14.6
,"Other bacterial diseases","A30-A49","2024 (provisional)","2024","Female","F","American Indian or Alaska Native","1002-5","65-74 years","65-74",41,166481,24.6
,"Other bacterial diseases","A30-A49","2024 (provisional)","2024","Female","F","American Indian or Alaska Native","1002-5","75-84 years","75-84",33,76057,43.4
,"Other bacterial diseases","A30-A49","2024 (provisional)","2024","Female","F","American Indian or Alaska Native","1002-5","85+ years","85+",13,26789,Unreliable
,"Other bacterial diseases","A30-A49","2024 (provisional)","2024","Female","F","Asian","A","35-44 years","35-44",13,1822629,Unreliable
,"Other bacterial diseases","A30-A49","2024 (provisional)","2024","Female","F","Asian","A","45-54 years","45-54",37,1578860,2.3
,"Other bacterial diseases","A30-A49","2024 (provisional)","2024","Female","F","Asian","A","55-64 years","55-64",46,1266796,3.6
,"Other bacterial diseases","A30-A49","2024 (provisional)","2024","Female","F","Asian","A","65-74 years","65-74",99,1001103,9.9
,"Other bacterial diseases","A30-A49","2024 (provisional)","2024","Female","F","Asian","A","75-84 years","75-84",158,506740,31.2
,"Other bacterial diseases","A30-A49","2024 (provisional)","2024","Female","F","Asian","A","85+ years","85+",170,208271,81.6
,"Other bacterial diseases","A30-A49","2024 (provisional)","2024","Female","F","Black or African American","2054-5","25-34 years","25-34",26,3545558,0.7
,"Other bacterial diseases","A30-A49","2024 (provisional)","2024","Female","F","Black or African American","2054-5","35-44 years","35-44",90,3218047,2.8
,"Other bacterial diseases","A30-A49","2024 (provisional)","2024","Female","F","Black or African American","2054-5","45-54 years","45-54",199,2861316,7.0
,"Other bacterial diseases","A30-A49","2024 (provisional)","2024","Female","F","Black or African American","2054-5","55-64 years","55-64",465,2821718,16.5
,"Other bacterial diseases","A30-A49","2024 (provisional)","2024","Female","F","Black or African American","2054-5","65-74 years","65-74",702,2127575,33.0
,"Other bacterial diseases","A30-A49","2024 (provisional)","2024","Female","F","Black or African American","2054-5","75-84 years","75-84",631,987042,63.9
,"Other bacterial diseases","A30-A49","2024 (provisional)","2024","Female","F","Black or African American","2054-5","85+ years","85+",410,353611,115.9
,"Other bacterial diseases","A30-A49","2024 (provisional)","2024","Female","F","Native Hawaiian or Other Pacific Islander","NHOPI","65-74 years","65-74",11,29935,Unreliable
,"Other bacterial diseases","A30-A49","2024 (provisional)","2024","Female","F","White","2106-3","25-34 years","25-34",110,16085608,0.7
,"Other bacterial diseases","A30-A49","2024 (provisional)","2024","Female","F","White","2106-3","35-44 years","35-44",286,16087150,1.8
,"Other bacterial diseases","A30-A49","2024 (provisional)","2024","Female","F","White","2106-3","45-54 years","45-54",695,15174900,4.6
,"Other bacterial diseases","A30-A49","2024 (provisional)","2024","Female","F","White","2106-3","55-64 years","55-64",1840,16680834,11.0
,"Other bacterial diseases","A30-A49","2024 (provisional)","2024","Female","F","White","2106-3","65-74 years","65-74",3234,14815045,21.8
,"Other bacterial diseases","A30-A49","2024 (provisional)","2024","Female","F","White","2106-3","75-84 years","75-84",4199,8521384,49.3
,"Other bacterial diseases","A30-A49","2024 (provisional)","2024","Female","F","White","2106-3","85+ years","85+",3146,3279678,95.9
,"Other bacterial diseases","A30-A49","2024 (provisional)","2024","Female","F","More than one race","M","55-64 years","55-64",18,304015,Unreliable
,"Other bacterial diseases","A30-A49","2024 (provisional)","2024","Female","F","More than one race","M","65-74 years","65-74",23,210065,10.9
,"Other bacterial diseases","A30-A49","2024 (provisional)","2024","Female","F","More than one race","M","75-84 years","75-84",31,100748,30.8
,"Other bacterial diseases","A30-A49","2024 (provisional)","2024","Female","F","More than one race","M","85+ years","85+",15,37850,Unreliable
,"Other bacterial diseases","A30-A49","2024 (provisional)","2024","Male","M","American Indian or Alaska Native","1002-5","25-34 years","25-34",13,344559,Unreliable
,"Other bacterial diseases","A30-A49","2024 (provisional)","2024","Male","M","American Indian or Alaska Native","1002-5","35-44 years","35-44",17,316157,Unreliable
,"Other bacterial diseases","A30-A49","2024 (provisional)","2024","Male","M","American Indian or Alaska Native","1002-5","45-54 years","45-54",23,260929,8.8
,"Other bacterial diseases","A30-A49","2024 (provisional)","2024","Male","M","American Indian or Alaska Native","1002-5","55-64 years","55-64",33,227106,14.5
,"Other bacterial diseases","A30-A49","2024 (provisional)","2024","Male","M","American Indian or Alaska Native","1002-5","65-74 years","65-74",50,148498,33.7
,"Other bacterial diseases","A30-A49","2024 (provisional)","2024","Male","M","American Indian or Alaska Native","1002-5","75-84 years","75-84",37,63233,58.5
,"Other bacterial diseases","A30-A49","2024 (provisional)","2024","Male","M","American Indian or Alaska Native","1002-5","85+ years","85+",13,17175,Unreliable
,"Other bacterial diseases","A30-A49","2024 (provisional)","2024","Male","M","Asian","A","35-44 years","35-44",16,1680517,Unreliable
,"Other bacterial diseases","A30-A49","2024 (provisional)","2024","Male","M","Asian","A","45-54 years","45-54",27,1404570,1.9
,"Other bacterial diseases","A30-A49","2024 (provisional)","2024","Male","M","Asian","A","55-64 years","55-64",73,1098008,6.6
,"Other bacterial diseases","A30-A49","2024 (provisional)","2024","Male","M","Asian","A","65-74 years","65-74",130,797839,16.3
,"Other bacterial diseases","A30-A49","2024 (provisional)","2024","Male","M","Asian","A","75-84 years","75-84",189,392100,48.2
,"Other bacterial diseases","A30-A49","2024 (provisional)","2024","Male","M","Asian","A","85+ years","85+",152,131730,115.4
,"Other bacterial diseases","A30-A49","2024 (provisional)","2024","Male","M","Black or African American","2054-5","25-34 years","25-34",42,3528216,1.2
,"Other bacterial diseases","A30-A49","2024 (provisional)","2024","Male","M","Black or African American","2054-5","35-44 years","35-44",87,3004099,2.9
,"Other bacterial diseases","A30-A49","2024 (provisional)","2024","Male","M","Black or African American","2054-5","45-54 years","45-54",195,2547736,7.7
,"Other bacterial diseases","A30-A49","2024 (provisional)","2024","Male","M","Black or African American","2054-5","55-64 years","55-64",439,2437159,18.0
,"Other bacterial diseases","A30-A49","2024 (provisional)","2024","Male","M","Black or African American","2054-5","65-74 years","65-74",736,1639704,44.9
,"Other bacterial diseases","A30-A49","2024 (provisional)","2024","Male","M","Black or African American","2054-5","75-84 years","75-84",555,640372,86.7
,"Other bacterial diseases","A30-A49","2024 (provisional)","2024","Male","M","Black or African American","2054-5","85+ years","85+",303,161992,187.0
,"Other bacterial diseases","A30-A49","2024 (provisional)","2024","Male","M","Native Hawaiian or Other Pacific Islander","NHOPI","45-54 years","45-54",10,54215,Unreliable
,"Other bacterial diseases","A30-A49","2024 (provisional)","2024","Male","M","White","2106-3","25-34 years","25-34",177,16719619,1.1
,"Other bacterial diseases","A30-A49","2024 (provisional)","2024","Male","M","White","2106-3","35-44 years","35-44",384,16784128,2.3
,"Other bacterial diseases","A30-A49","2024 (provisional)","2024","Male","M","White","2106-3","45-54 years","45-54",819,15565729,5.3
,"Other bacterial diseases","A30-A49","2024 (provisional)","2024","Male","M","White","2106-3","55-64 years","55-64",2085,16425655,12.7
,"Other bacterial diseases","A30-A49","2024 (provisional)","2024","Male","M","White","2106-3","65-74 years","65-74",3775,13538439,27.9
,"Other bacterial diseases","A30-A49","2024 (provisional)","2024","Male","M","White","2106-3","75-84 years","75-84",4493,6974938,64.4
,"Other bacterial diseases","A30-A49","2024 (provisional)","2024","Male","M","White","2106-3","85+ years","85+",2858,1945723,146.9
,"Other bacterial diseases","A30-A49","2024 (provisional)","2024","Male","M","More than one race","M","45-54 years","45-54",12,353930,Unreliable
,"Other bacterial diseases","A30-A49","2024 (provisional)","2024","Male","M","More than one race","M","55-64 years","55-64",21,272292,7.7
,"Other bacterial diseases","A30-A49","2024 (provisional)","2024","Male","M","More than one race","M","65-74 years","65-74",33,183162,18.0
,"Other bacterial diseases","A30-A49","2024 (provisional)","2024","Male","M","More than one race","M","75-84 years","75-84",18,80176,Unreliable
,"Other bacterial diseases","A30-A49","2024 (provisional)","2024","Male","M","More than one race","M","85+ years","85+",11,24061,Unreliable
,"Other bacterial diseases","A30-A49","2025 (provisional and partial)","2025","Female","F","American Indian or Alaska Native","1002-5","25-34 years","25-34",14,327988,Unreliable
,"Other bacterial diseases","A30-A49","2025 (provisional and partial)","2025","Female","F","American Indian or Alaska Native","1002-5","35-44 years","35-44",11,290449,Unreliable
,"Other bacterial diseases","A30-A49","2025 (provisional and partial)","2025","Female","F","American Indian or Alaska Native","1002-5","45-54 years","45-54",19,249303,Unreliable
,"Other bacterial diseases","A30-A49","2025 (provisional and partial)","2025","Female","F","American Indian or Alaska Native","1002-5","55-64 years","55-64",21,232793,9.0
,"Other bacterial diseases","A30-A49","2025 (provisional and partial)","2025","Female","F","American Indian or Alaska Native","1002-5","65-74 years","65-74",37,166481,22.2
,"Other bacterial diseases","A30-A49","2025 (provisional and partial)","2025","Female","F","American Indian or Alaska Native","1002-5","75-84 years","75-84",42,76057,55.2
,"Other bacterial diseases","A30-A49","2025 (provisional and partial)","2025","Female","F","American Indian or Alaska Native","1002-5","85+ years","85+",23,26789,85.9
,"Other bacterial diseases","A30-A49","2025 (provisional and partial)","2025","Female","F","Asian","A","35-44 years","35-44",10,1822629,Unreliable
,"Other bacterial diseases","A30-A49","2025 (provisional and partial)","2025","Female","F","Asian","A","45-54 years","45-54",29,1578860,1.8
,"Other bacterial diseases","A30-A49","2025 (provisional and partial)","2025","Female","F","Asian","A","55-64 years","55-64",36,1266796,2.8
,"Other bacterial diseases","A30-A49","2025 (provisional and partial)","2025","Female","F","Asian","A","65-74 years","65-74",96,1001103,9.6
,"Other bacterial diseases","A30-A49","2025 (provisional and partial)","2025","Female","F","Asian","A","75-84 years","75-84",140,506740,27.6
,"Other bacterial diseases","A30-A49","2025 (provisional and partial)","2025","Female","F","Asian","A","85+ years","85+",146,208271,70.1
,"Other bacterial diseases","A30-A49","2025 (provisional and partial)","2025","Female","F","Black or African American","2054-5","25-34 years","25-34",25,3545558,0.7
,"Other bacterial diseases","A30-A49","2025 (provisional and partial)","2025","Female","F","Black or African American","2054-5","35-44 years","35-44",76,3218047,2.4
,"Other bacterial diseases","A30-A49","2025 (provisional and partial)","2025","Female","F","Black or African American","2054-5","45-54 years","45-54",169,2861316,5.9
,"Other bacterial diseases","A30-A49","2025 (provisional and partial)","2025","Female","F","Black or African American","2054-5","55-64 years","55-64",371,2821718,13.1
,"Other bacterial diseases","A30-A49","2025 (provisional and partial)","2025","Female","F","Black or African American","2054-5","65-74 years","65-74",643,2127575,30.2
,"Other bacterial diseases","A30-A49","2025 (provisional and partial)","2025","Female","F","Black or African American","2054-5","75-84 years","75-84",570,987042,57.7
,"Other bacterial diseases","A30-A49","2025 (provisional and partial)","2025","Female","F","Black or African American","2054-5","85+ years","85+",357,353611,101.0
,"Other bacterial diseases","A30-A49","2025 (provisional and partial)","2025","Female","F","Native Hawaiian or Other Pacific Islander","NHOPI","55-64 years","55-64",10,44410,Unreliable
,"Other bacterial diseases","A30-A49","2025 (provisional and partial)","2025","Female","F","White","2106-3","25-34 years","25-34",80,16085608,0.5
,"Other bacterial diseases","A30-A49","2025 (provisional and partial)","2025","Female","F","White","2106-3","35-44 years","35-44",263,16087150,1.6
,"Other bacterial diseases","A30-A49","2025 (provisional and partial)","2025","Female","F","White","2106-3","45-54 years","45-54",610,15174900,4.0
,"Other bacterial diseases","A30-A49","2025 (provisional and partial)","2025","Female","F","White","2106-3","55-64 years","55-64",1504,16680834,9.0
,"Other bacterial diseases","A30-A49","2025 (provisional and partial)","2025","Female","F","White","2106-3","65-74 years","65-74",2959,14815045,20.0
,"Other bacterial diseases","A30-A49","2025 (provisional and partial)","2025","Female","F","White","2106-3","75-84 years","75-84",3838,8521384,45.0
,"Other bacterial diseases","A30-A49","2025 (provisional and partial)","2025","Female","F","White","2106-3","85+ years","85+",2809,3279678,85.6
,"Other bacterial diseases","A30-A49","2025 (provisional and partial)","2025","Female","F","More than one race","M","45-54 years","45-54",13,390643,Unreliable
,"Other bacterial diseases","A30-A49","2025 (provisional and partial)","2025","Female","F","More than one race","M","55-64 years","55-64",10,304015,Unreliable
,"Other bacterial diseases","A30-A49","2025 (provisional and partial)","2025","Female","F","More than one race","M","65-74 years","65-74",30,210065,14.3
,"Other bacterial diseases","A30-A49","2025 (provisional and partial)","2025","Female","F","More than one race","M","75-84 years","75-84",15,100748,Unreliable
,"Other bacterial diseases","A30-A49","2025 (provisional and partial)","2025","Female","F","More than one race","M","85+ years","85+",13,37850,Unreliable
,"Other bacterial diseases","A30-A49","2025 (provisional and partial)","2025","Male","M","American Indian or Alaska Native","1002-5","35-44 years","35-44",14,316157,Unreliable
,"Other bacterial diseases","A30-A49","2025 (provisional and partial)","2025","Male","M","American Indian or Alaska Native","1002-5","45-54 years","45-54",18,260929,Unreliable
,"Other bacterial diseases","A30-A49","2025 (provisional and partial)","2025","Male","M","American Indian or Alaska Native","1002-5","55-64 years","55-64",18,227106,Unreliable
,"Other bacterial diseases","A30-A49","2025 (provisional and partial)","2025","Male","M","American Indian or Alaska Native","1002-5","65-74 years","65-74",27,148498,18.2
,"Other bacterial diseases","A30-A49","2025 (provisional and partial)","2025","Male","M","American Indian or Alaska Native","1002-5","75-84 years","75-84",23,63233,36.4
,"Other bacterial diseases","A30-A49","2025 (provisional and partial)","2025","Male","M","Asian","A","25-34 years","25-34",10,1633375,Unreliable
