"Notes","MCD - ICD Sub-Chapter","MCD - ICD Sub-Chapter Code","Year","Year Code","Sex","Sex Code","Race","Race Code","Ten-Year Age Groups","Ten-Year Age Groups Code",Deaths,Population,Crude Rate
,"Renal failure","N17-N19","2014","2014","Male","M","Asian or Pacific Islander","A-PI","65-74 years","65-74",187,545296,34.3
,"Renal failure","N17-N19","2014","2014","Male","M","Asian or Pacific Islander","A-PI","75-84 years","75-84",237,248143,95.5
,"Renal failure","N17-N19","2014","2014","Male","M","Asian or Pacific Islander","A-PI","85+ years","85+",283,79563,355.7
,"Renal failure","N17-N19","2014","2014","Male","M","Black or African American","2054-5","25-34 years","25-34",55,3122333,1.8
,"Renal failure","N17-N19","2014","2014","Male","M","Black or African American","2054-5","35-44 years","35-44",114,2661111,4.3
,"Renal failure","N17-N19","2014","2014","Male","M","Black or African American","2054-5","45-54 years","45-54",355,2680947,13.2
,"Renal failure","N17-N19","2014","2014","Male","M","Black or African American","2054-5","55-64 years","55-64",770,2162149,35.6
,"Renal failure","N17-N19","2014","2014","Male","M","Black or African American","2054-5","65-74 years","65-74",828,1099266,75.3
,"Renal failure","N17-N19","2014","2014","Male","M","Black or African American","2054-5","75-84 years","75-84",774,456225,169.7
,"Renal failure","N17-N19","2014","2014","Male","M","Black or African American","2054-5","85+ years","85+",564,136175,414.2
,"Renal failure","N17-N19","2014","2014","Male","M","White","2106-3","25-34 years","25-34",176,16906536,1.0
,"Renal failure","N17-N19","2014","2014","Male","M","White","2106-3","35-44 years","35-44",480,15746894,3.0
,"Renal failure","N17-N19","2014","2014","Male","M","White","2106-3","45-54 years","45-54",1559,17264988,9.0
,"Renal failure","N17-N19","2014","2014","Male","M","White","2106-3","55-64 years","55-64",3569,16033745,22.3
,"Renal failure","N17-N19","2014","2014","Male","M","White","2106-3","65-74 years","65-74",5365,10602690,50.6
,"Renal failure","N17-N19","2014","2014","Male","M","White","2106-3","75-84 years","75-84",7549,5151698,146.5
,"Renal failure","N17-N19","2014","2014","Male","M","White","2106-3","85+ years","85+",7992,1882783,424.5
,"Renal failure","N17-N19","2015","2015","Female","F","American Indian or Alaska Native","1002-5","35-44 years","35-44",12,294511,Unreliable
,"Renal failure","N17-N19","2015","2015","Female","F","American Indian or Alaska Native","1002-5","45-54 years","45-54",28,277510,10.1
,"Renal failure","N17-N19","2015","2015","Female","F","American Indian or Alaska Native","1002-5","55-64 years","55-64",53,226940,23.4
,"Renal failure","N17-N19","2015","2015","Female","F","American Indian or Alaska Native","1002-5","65-74 years","65-74",54,122035,44.2
,"Renal failure","N17-N19","2015","2015","Female","F","American Indian or Alaska Native","1002-5","75-84 years","75-84",53,52843,100.3
,"Renal failure","N17-N19","2015","2015","Female","F","American Indian or Alaska Native","1002-5","85+ years","85+",47,20022,234.7
,"Renal failure","N17-N19","2015","2015","Female","F","Asian or Pacific Islander","A-PI","35-44 years","35-44",19,1683702,Unreliable
,"Renal failure","N17-N19","2015","2015","Female","F","Asian or Pacific Islander","A-PI","45-54 years","45-54",24,1416779,1.7
,"Renal failure","N17-N19","2015","2015","Female","F","Asian or Pacific Islander","A-PI","55-64 years","55-64",74,1155370,6.4
,"Renal failure","N17-N19","2015","2015","Female","F","Asian or Pacific Islander","A-PI","65-74 years","65-74",136,725572,18.7
,"Renal failure","N17-N19","2015","2015","Female","F","Asian or Pacific Islander","A-PI","75-84 years","75-84",212,350343,60.5
,"Renal failure","N17-N19","2015","2015","Female","F","Asian or Pacific Islander","A-PI","85+ years","85+",343,150073,228.6
,"Renal failure","N17-N19","2015","2015","Female","F","Black or African American","2054-5","25-34 years","25-34",48,3382985,1.4
,"Renal failure","N17-N19","2015","2015","Female","F","Black or African American","2054-5","35-44 years","35-44",110,3013072,3.7
,"Renal failure","N17-N19","2015","2015","Female","F","Black or African American","2054-5","45-54 years","45-54",292,3021717,9.7
,"Renal failure","N17-N19","2015","2015","Female","F","Black or African American","2054-5","55-64 years","55-64",625,2654398,23.5
,"Renal failure","N17-N19","2015","2015","Female","F","Black or African American","2054-5","65-74 years","65-74",819,1543609,53.1
,"Renal failure","N17-N19","2015","2015","Female","F","Black or African American","2054-5","75-84 years","75-84",938,762579,123.0
,"Renal failure","N17-N19","2015","2015","Female","F","Black or African American","2054-5","85+ years","85+",1040,338522,307.2
,"Renal failure","N17-N19","2015","2015","Female","F","White","2106-3","25-34 years","25-34",115,16343612,0.7
,"Renal failure","N17-N19","2015","2015","Female","F","White","2106-3","35-44 years","35-44",306,15394921,2.0
,"Renal failure","N17-N19","2015","2015","Female","F","White","2106-3","45-54 years","45-54",1010,17173379,5.9
,"Renal failure","N17-N19","2015","2015","Female","F","White","2106-3","55-64 years","55-64",2393,17126364,14.0
,"Renal failure","N17-N19","2015","2015","Female","F","White","2106-3","65-74 years","65-74",4368,12266953,35.6
,"Renal failure","N17-N19","2015","2015","Female","F","White","2106-3","75-84 years","75-84",6793,6733838,100.9
,"Renal failure","N17-N19","2015","2015","Female","F","White","2106-3","85+ years","85+",10417,3604246,289.0
,"Renal failure","N17-N19","2015","2015","Male","M","American Indian or Alaska Native","1002-5","35-44 years","35-44",18,306732,Unreliable
,"Renal failure","N17-N19","2015","2015","Male","M","American Indian or Alaska Native","1002-5","45-54 years","45-54",42,275803,15.2
,"Renal failure","N17-N19","2015","2015","Male","M","American Indian or Alaska Native","1002-5","55-64 years","55-64",58,209714,27.7
,"Renal failure","N17-N19","2015","2015","Male","M","American Indian or Alaska Native","1002-5","65-74 years","65-74",70,108443,64.6
,"Renal failure","N17-N19","2015","2015","Male","M","American Indian or Alaska Native","1002-5","75-84 years","75-84",45,39823,113.0
,"Renal failure","N17-N19","2015","2015","Male","M","American Indian or Alaska Native","1002-5","85+ years","85+",31,11308,274.1
,"Renal failure","N17-N19","2015","2015","Male","M","Asian or Pacific Islander","A-PI","35-44 years","35-44",28,1490424,1.9
,"Renal failure","N17-N19","2015","2015","Male","M","Asian or Pacific Islander","A-PI","45-54 years","45-54",56,1248191,4.5
,"Renal failure","N17-N19","2015","2015","Male","M","Asian or Pacific Islander","A-PI","55-64 years","55-64",101,965484,10.5
,"Renal failure","N17-N19","2015","2015","Male","M","Asian or Pacific Islander","A-PI","65-74 years","65-74",185,586368,31.6
,"Renal failure","N17-N19","2015","2015","Male","M","Asian or Pacific Islander","A-PI","75-84 years","75-84",236,266500,88.6
,"Renal failure","N17-N19","2015","2015","Male","M","Asian or Pacific Islander","A-PI","85+ years","85+",273,86681,314.9
,"Renal failure","N17-N19","2015","2015","Male","M","Black or African American","2054-5","25-34 years","25-34",59,3224785,1.8
,"Renal failure","N17-N19","2015","2015","Male","M","Black or African American","2054-5","35-44 years","35-44",143,2690744,5.3
,"Renal failure","N17-N19","2015","2015","Male","M","Black or African American","2054-5","45-54 years","45-54",378,2673905,14.1
,"Renal failure","N17-N19","2015","2015","Male","M","Black or African American","2054-5","55-64 years","55-64",812,2230799,36.4
,"Renal failure","N17-N19","2015","2015","Male","M","Black or African American","2054-5","65-74 years","65-74",931,1164256,80.0
,"Renal failure","N17-N19","2015","2015","Male","M","Black or African American","2054-5","75-84 years","75-84",817,473171,172.7
,"Renal failure","N17-N19","2015","2015","Male","M","Black or African American","2054-5","85+ years","85+",583,142359,409.5
,"Renal failure","N17-N19","2015","2015","Male","M","White","2106-3","25-34 years","25-34",166,17051627,1.0
,"Renal failure","N17-N19","2015","2015","Male","M","White","2106-3","35-44 years","35-44",487,15715677,3.1
,"Renal failure","N17-N19","2015","2015","Male","M","White","2106-3","45-54 years","45-54",1509,17100877,8.8
,"Renal failure","N17-N19","2015","2015","Male","M","White","2106-3","55-64 years","55-64",3645,16308750,22.3
,"Renal failure","N17-N19","2015","2015","Male","M","White","2106-3","65-74 years","65-74",5820,11033281,52.7
,"Renal failure","N17-N19","2015","2015","Male","M","White","2106-3","75-84 years","75-84",7701,5244077,146.9
,"Renal failure","N17-N19","2015","2015","Male","M","White","2106-3","85+ years","85+",7959,1933950,411.5
,"Renal failure","N17-N19","2016","2016","Female","F","American Indian or Alaska Native","1002-5","35-44 years","35-44",16,297098,Unreliable
,"Renal failure","N17-N19","2016","2016","Female","F","American Indian or Alaska Native","1002-5","45-54 years","45-54",37,277646,13.3
,"Renal failure","N17-N19","2016","2016","Female","F","American Indian or Alaska Native","1002-5","55-64 years","55-64",52,235033,22.1
,"Renal failure","N17-N19","2016","2016","Female","F","American Indian or Alaska Native","1002-5","65-74 years","65-74",57,129801,43.9
,"Renal failure","N17-N19","2016","2016","Female","F","American Indian or Alaska Native","1002-5","75-84 years","75-84",38,55662,68.3
,"Renal failure","N17-N19","2016","2016","Female","F","American Indian or Alaska Native","1002-5","85+ years","85+",46,21195,217.0
,"Renal failure","N17-N19","2016","2016","Female","F","Asian or Pacific Islander","A-PI","35-44 years","35-44",13,1697830,Unreliable
,"Renal failure","N17-N19","2016","2016","Female","F","Asian or Pacific Islander","A-PI","45-54 years","45-54",41,1446459,2.8
,"Renal failure","N17-N19","2016","2016","Female","F","Asian or Pacific Islander","A-PI","55-64 years","55-64",87,1178042,7.4
,"Renal failure","N17-N19","2016","2016","Female","F","Asian or Pacific Islander","A-PI","65-74 years","65-74",136,764332,17.8
,"Renal failure","N17-N19","2016","2016","Female","F","Asian or Pacific Islander","A-PI","75-84 years","75-84",216,365597,59.1
,"Renal failure","N17-N19","2016","2016","Female","F","Asian or Pacific Islander","A-PI","85+ years","85+",313,159716,196.0
,"Renal failure","N17-N19","2016","2016","Female","F","Black or African American","2054-5","25-34 years","25-34",55,3466922,1.6
,"Renal failure","N17-N19","2016","2016","Female","F","Black or African American","2054-5","35-44 years","35-44",105,3017848,3.5
,"Renal failure","N17-N19","2016","2016","Female","F","Black or African American","2054-5","45-54 years","45-54",292,3018481,9.7
,"Renal failure","N17-N19","2016","2016","Female","F","Black or African American","2054-5","55-64 years","55-64",685,2712845,25.3
,"Renal failure","N17-N19","2016","2016","Female","F","Black or African American","2054-5","65-74 years","65-74",818,1626680,50.3
,"Renal failure","N17-N19","2016","2016","Female","F","Black or African American","2054-5","75-84 years","75-84",911,785828,115.9
,"Renal failure","N17-N19","2016","2016","Female","F","Black or African American","2054-5","85+ years","85+",1027,346391,296.5
,"Renal failure","N17-N19","2016","2016","Female","F","White","2106-3","25-34 years","25-34",143,16465489,0.9
,"Renal failure","N17-N19","2016","2016","Female","F","White","2106-3","35-44 years","35-44",330,15304617,2.2
,"Renal failure","N17-N19","2016","2016","Female","F","White","2106-3","45-54 years","45-54",990,16937954,5.8
,"Renal failure","N17-N19","2016","2016","Female","F","White","2106-3","55-64 years","55-64",2508,17338186,14.5
,"Renal failure","N17-N19","2016","2016","Female","F","White","2106-3","65-74 years","65-74",4388,12718408,34.5
,"Renal failure","N17-N19","2016","2016","Female","F","White","2106-3","75-84 years","75-84",6668,6849573,97.3
,"Renal failure","N17-N19","2016","2016","Female","F","White","2106-3","85+ years","85+",9775,3628186,269.4
,"Renal failure","N17-N19","2016","2016","Male","M","American Indian or Alaska Native","1002-5","25-34 years","25-34",13,374596,Unreliable
,"Renal failure","N17-N19","2016","2016","Male","M","American Indian or Alaska Native","1002-5","35-44 years","35-44",15,309569,Unreliable
,"Renal failure","N17-N19","2016","2016","Male","M","American Indian or Alaska Native","1002-5","45-54 years","45-54",46,277098,16.6
,"Renal failure","N17-N19","2016","2016","Male","M","American Indian or Alaska Native","1002-5","55-64 years","55-64",61,216738,28.1
,"Renal failure","N17-N19","2016","2016","Male","M","American Indian or Alaska Native","1002-5","65-74 years","65-74",62,114778,54.0
,"Renal failure","N17-N19","2016","2016","Male","M","American Indian or Alaska Native","1002-5","75-84 years","75-84",50,42459,117.8
,"Renal failure","N17-N19","2016","2016","Male","M","American Indian or Alaska Native","1002-5","85+ years","85+",27,12059,223.9
,"Renal failure","N17-N19","2016","2016","Male","M","Asian or Pacific Islander","A-PI","35-44 years","35-44",24,1504147,1.6
,"Renal failure","N17-N19","2016","2016","Male","M","Asian or Pacific Islander","A-PI","45-54 years","45-54",58,1272640,4.6
,"Renal failure","N17-N19","2016","2016","Male","M","Asian or Pacific Islander","A-PI","55-64 years","55-64",132,985505,13.4
,"Renal failure","N17-N19","2016","2016","Male","M","Asian or Pacific Islander","A-PI","65-74 years","65-74",179,612074,29.2
,"Renal failure","N17-N19","2016","2016","Male","M","Asian or Pacific Islander","A-PI","75-84 years","75-84",261,280882,92.9
,"Renal failure","N17-N19","2016","2016","Male","M","Asian or Pacific Islander","A-PI","85+ years","85+",263,92994,282.8
,"Renal failure","N17-N19","2016","2016","Male","M","Black or African American","2054-5","25-34 years","25-34",67,3338882,2.0
,"Renal failure","N17-N19","2016","2016","Male","M","Black or African American","2054-5","35-44 years","35-44",131,2702577,4.8
,"Renal failure","N17-N19","2016","2016","Male","M","Black or African American","2054-5","45-54 years","45-54",364,2666665,13.7
,"Renal failure","N17-N19","2016","2016","Male","M","Black or African American","2054-5","55-64 years","55-64",857,2284809,37.5
,"Renal failure","N17-N19","2016","2016","Male","M","Black or African American","2054-5","65-74 years","65-74",983,1228135,80.0
,"Renal failure","N17-N19","2016","2016","Male","M","Black or African American","2054-5","75-84 years","75-84",847,490623,172.6
,"Renal failure","N17-N19","2016","2016","Male","M","Black or African American","2054-5","85+ years","85+",546,147306,370.7
,"Renal failure","N17-N19","2016","2016","Male","M","White","2106-3","25-34 years","25-34",200,17186128,1.2
,"Renal failure","N17-N19","2016","2016","Male","M","White","2106-3","35-44 years","35-44",557,15636470,3.6
,"Renal failure","N17-N19","2016","2016","Male","M","White","2106-3","45-54 years","45-54",1498,16889736,8.9
,"Renal failure","N17-N19","2016","2016","Male","M","White","2106-3","55-64 years","55-64",3825,16511986,23.2
,"Renal failure","N17-N19","2016","2016","Male","M","White","2106-3","65-74 years","65-74",6001,11436122,52.5
,"Renal failure","N17-N19","2016","2016","Male","M","White","2106-3","75-84 years","75-84",7645,5362910,142.6
,"Renal failure","N17-N19","2016","2016","Male","M","White","2106-3","85+ years","85+",7687,1972484,389.7
,"Renal failure","N17-N19","2017","2017","Female","F","American Indian or Alaska Native","1002-5","35-44 years","35-44",12,301182,Unreliable
,"Renal failure","N17-N19","2017","2017","Female","F","American Indian or Alaska Native","1002-5","45-54 years","45-54",41,277424,14.8
,"Renal failure","N17-N19","2017","2017","Female","F","American Indian or Alaska Native","1002-5","55-64 years","55-64",41,242608,16.9
,"Renal failure","N17-N19","2017","2017","Female","F","American Indian or Alaska Native","1002-5","65-74 years","65-74",63,137585,45.8
,"Renal failure","N17-N19","2017","2017","Female","F","American Indian or Alaska Native","1002-5","75-84 years","75-84",52,58651,88.7
,"Renal failure","N17-N19","2017","2017","Female","F","American Indian or Alaska Native","1002-5","85+ years","85+",48,22588,212.5
,"Renal failure","N17-N19","2017","2017","Female","F","Asian or Pacific Islander","A-PI","35-44 years","35-44",20,1757097,1.1
,"Renal failure","N17-N19","2017","2017","Female","F","Asian or Pacific Islander","A-PI","45-54 years","45-54",41,1507028,2.7
,"Renal failure","N17-N19","2017","2017","Female","F","Asian or Pacific Islander","A-PI","55-64 years","55-64",94,1224600,7.7
,"Renal failure","N17-N19","2017","2017","Female","F","Asian or Pacific Islander","A-PI","65-74 years","65-74",155,819417,18.9
,"Renal failure","N17-N19","2017","2017","Female","F","Asian or Pacific Islander","A-PI","75-84 years","75-84",245,390555,62.7
,"Renal failure","N17-N19","2017","2017","Female","F","Asian or Pacific Islander","A-PI","85+ years","85+",358,172121,208.0
,"Renal failure","N17-N19","2017","2017","Female","F","Black or African American","2054-5","25-34 years","25-34",40,3560406,1.1
,"Renal failure","N17-N19","2017","2017","Female","F","Black or African American","2054-5","35-44 years","35-44",128,3055368,4.2
,"Renal failure","N17-N19","2017","2017","Female","F","Black or African American","2054-5","45-54 years","45-54",286,3016004,9.5
,"Renal failure","N17-N19","2017","2017","Female","F","Black or African American","2054-5","55-64 years","55-64",679,2777624,24.4
,"Renal failure","N17-N19","2017","2017","Female","F","Black or African American","2054-5","65-74 years","65-74",861,1709818,50.4
,"Renal failure","N17-N19","2017","2017","Female","F","Black or African American","2054-5","75-84 years","75-84",882,814516,108.3
,"Renal failure","N17-N19","2017","2017","Female","F","Black or African American","2054-5","85+ years","85+",952,356668,266.9
,"Renal failure","N17-N19","2017","2017","Female","F","White","2106-3","25-34 years","25-34",126,16576425,0.8
,"Renal failure","N17-N19","2017","2017","Female","F","White","2106-3","35-44 years","35-44",335,15392623,2.2
,"Renal failure","N17-N19","2017","2017","Female","F","White","2106-3","45-54 years","45-54",1002,16668139,6.0
,"Renal failure","N17-N19","2017","2017","Female","F","White","2106-3","55-64 years","55-64",2604,17493023,14.9
,"Renal failure","N17-N19","2017","2017","Female","F","White","2106-3","65-74 years","65-74",4562,13139486,34.7
,"Renal failure","N17-N19","2017","2017","Female","F","White","2106-3","75-84 years","75-84",6655,7034954,94.6
,"Renal failure","N17-N19","2017","2017","Female","F","White","2106-3","85+ years","85+",9446,3637636,259.7
,"Renal failure","N17-N19","2017","2017","Male","M","American Indian or Alaska Native","1002-5","25-34 years","25-34",15,383036,Unreliable
,"Renal failure","N17-N19","2017","2017","Male","M","American Indian or Alaska Native","1002-5","35-44 years","35-44",24,314647,7.6
,"Renal failure","N17-N19","2017","2017","Male","M","American Indian or Alaska Native","1002-5","45-54 years","45-54",32,277853,11.5
,"Renal failure","N17-N19","2017","2017","Male","M","American Indian or Alaska Native","1002-5","55-64 years","55-64",73,224532,32.5
,"Renal failure","N17-N19","2017","2017","Male","M","American Indian or Alaska Native","1002-5","65-74 years","65-74",57,121253,47.0
,"Renal failure","N17-N19","2017","2017","Male","M","American Indian or Alaska Native","1002-5","75-84 years","75-84",49,45396,107.9
,"Renal failure","N17-N19","2017","2017","Male","M","American Indian or Alaska Native","1002-5","85+ years","85+",37,12970,285.3
,"Renal failure","N17-N19","2017","2017","Male","M","Asian or Pacific Islander","A-PI","35-44 years","35-44",21,1559482,1.3
,"Renal failure","N17-N19","2017","2017","Male","M","Asian or Pacific Islander","A-PI","45-54 years","45-54",63,1325041,4.8
,"Renal failure","N17-N19","2017","2017","Male","M","Asian or Pacific Islander","A-PI","55-64 years","55-64",130,1025701,12.7
,"Renal failure","N17-N19","2017","2017","Male","M","Asian or Pacific Islander","A-PI","65-74 years","65-74",216,653648,33.0
,"Renal failure","N17-N19","2017","2017","Male","M","Asian or Pacific Islander","A-PI","75-84 years","75-84",303,301045,100.6
,"Renal failure","N17-N19","2017","2017","Male","M","Asian or Pacific Islander","A-PI","85+ years","85+",251,100678,249.3
,"Renal failure","N17-N19","2017","2017","Male","M","Black or African American","2054-5","25-34 years","25-34",65,3465087,1.9
,"Renal failure","N17-N19","2017","2017","Male","M","Black or African American","2054-5","35-44 years","35-44",131,2743658,4.8
,"Renal failure","N17-N19","2017","2017","Male","M","Black or African American","2054-5","45-54 years","45-54",364,2660679,13.7
,"Renal failure","N17-N19","2017","2017","Male","M","Black or African American","2054-5","55-64 years","55-64",879,2341639,37.5
,"Renal failure","N17-N19","2017","2017","Male","M","Black or African American","2054-5","65-74 years","65-74",1000,1289007,77.6
,"Renal failure","N17-N19","2017","2017","Male","M","Black or African American","2054-5","75-84 years","75-84",817,511629,159.7
,"Renal failure","N17-N19","2017","2017","Male","M","Black or African American","2054-5","85+ years","85+",567,153683,368.9
,"Renal failure","N17-N19","2017","2017","Male","M","White","2106-3","25-34 years","25-34",234,17369406,1.3
,"Renal failure","N17-N19","2017","2017","Male","M","White","2106-3","35-44 years","35-44",514,15751313,3.3
,"Renal failure","N17-N19","2017","2017","Male","M","White","2106-3","45-54 years","45-54",1577,16642784,9.5
,"Renal failure","N17-N19","2017","2017","Male","M","White","2106-3","55-64 years","55-64",3879,16665931,23.3
,"Renal failure","N17-N19","2017","2017","Male","M","White","2106-3","65-74 years","65-74",6413,11813232,54.3
,"Renal failure","N17-N19","2017","2017","Male","M","White","2106-3","75-84 years","75-84",7791,5549805,140.4
,"Renal failure","N17-N19","2017","2017","Male","M","White","2106-3","85+ years","85+",7585,2012338,376.9
"---"
"Dataset: Multiple Cause of Death, 1999-2020"
"Query Parameters:"
"MCD - ICD-10 Codes: N17.0 (Acute renal failure with tubular necrosis); N17.1 (Acute renal failure with acute cortical necrosis);"
"N17.2 (Acute renal failure with medullary necrosis); N17.8 (Other acute renal failure); N17.9 (Acute renal failure, unspecified)"
"Ten-Year Age Groups: 25-34 years; 35-44 years; 45-54 years; 55-64 years; 65-74 years; 75-84 years; 85+ years"
"Year/Month: 2010; 2011; 2012; 2013; 2014; 2015; 2016; 2017"
"Group By: MCD - ICD Sub-Chapter; Year; Sex; Race; Ten-Year Age Groups"
"Show Totals: Disabled"
"Show Zero Values: False"
"Show Suppressed: False"
"Calculate Rates Per: 100,000"
"Rate Options: Default intercensal populations for years 2001-2009 (except Infant Age Groups)"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/mcd.html for more information."
"---"
"Query Date: Jan 14, 2026 1:45:31 AM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Mortality 1999-2020 on CDC WONDER Online Database, released in 2021. Data are from the Multiple Cause of Death Files,"
"1999-2020, as compiled from data provided by the 57 vital statistics jurisdictions through the Vital Statistics Cooperative"
"Program. Accessed at http://wonder.cdc.gov/mcd-icd10.html on Jan 14, 2026 1:45:31 AM"
"---"
Messages:
"1. Totals are not available for these results due to suppression constraints. More Information:"
"http://wonder.cdc.gov/wonder/help/faq.html#Privacy."
"2. Rows with suppressed Deaths are hidden. Use Quick Options above to show suppressed rows."
"---"
Footnotes:
"1. Totals and sub-totals show the frequency of the selected causes of death, which may be greater than the number of deaths."
"Note that any single death record may have up to 20 causes. More information."
"---"
Caveats:
"1. As of April 3, 2017, the underlying cause of death has been revised for 125 deaths in 2014. More information:"
"http://wonder.cdc.gov/wonder/help/mcd.html#2014-Revision."
"2. These items in the results table are not fully selected: Renal failure. The Query Description lists the actual values"
"selected."
"3. Data are Suppressed when the data meet the criteria for confidentiality constraints. More information:"
"http://wonder.cdc.gov/wonder/help/mcd.html#Assurance of Confidentiality."
"4. Death rates are flagged as Unreliable when the rate is calculated with a numerator of 20 or less. More information:"
"http://wonder.cdc.gov/wonder/help/mcd.html#Unreliable."
"5. Deaths of persons with Age ""Not Stated"" are included in ""All"" counts and rates, but are not distributed among age groups,"
"so are not included in age-specific counts, age-specific rates or in any age-adjusted rates. More information:"
"http://wonder.cdc.gov/wonder/help/mcd.html#Not Stated."
"6. Information included on the death certificate about the race and Hispanic ethnicity of the decedent is reported by the"
"funeral director as provided by an informant, often the surviving next of kin, or, in the absence of an informant, on the basis"
"of observation. Race and ethnicity information from the census is by self-report. To the extent that race and Hispanic origin"
"are inconsistent between these two data sources, death rates will be biased. More information:"
"http://wonder.cdc.gov/wonder/help/mcd.html#Racial Differences."
"7. The population figures for year 2020 are bridged-race estimates of the July 1 resident population, from the Vintage 2020"
"postcensal series released by NCHS on September 22, 2021. The population figures for year 2019 are bridged-race estimates of the"
"July 1 resident population, from the Vintage 2019 postcensal series released by NCHS on July 9, 2020. The population figures for"
"year 2018 are bridged-race estimates of the July 1 resident population, from the Vintage 2018 postcensal series released by NCHS"
"on June 25, 2019. The population figures for year 2017 are bridged-race estimates of the July 1 resident population, from the"
"Vintage 2017 postcensal series released by NCHS on June 27, 2018. The population figures for year 2016 are bridged-race"
"estimates of the July 1 resident population, from the Vintage 2016 postcensal series released by NCHS on June 26, 2017. The"
"population figures for year 2015 are bridged-race estimates of the July 1 resident population, from the Vintage 2015 postcensal"
"series released by NCHS on June 28, 2016. The population figures for year 2014 are bridged-race estimates of the July 1 resident"
"population, from the Vintage 2014 postcensal series released by NCHS on June 30, 2015. The population figures for year 2013 are"
"bridged-race estimates of the July 1 resident population, from the Vintage 2013 postcensal series released by NCHS on June 26,"
"2014. The population figures for year 2012 are bridged-race estimates of the July 1 resident population, from the Vintage 2012"
"postcensal series released by NCHS on June 13, 2013. Population figures for 2011 are bridged-race estimates of the July 1"
"resident population, from the county-level postcensal Vintage 2011 series released by NCHS on July 18, 2012. Population figures"
"for 2010 are April 1 Census counts. The population figures for years 2001 - 2009, are bridged-race estimates of the July 1"
"resident population, from the revised intercensal county-level 2000 - 2009 series released by NCHS on October 26, 2012."
"Population figures for 2000 are April 1 Census counts. Population figures for 1999 are from the 1990-1999 intercensal series of"
"July 1 estimates. Population figures for Infant Age Groups are the number of live births. <br/><b>Note:</b> Rates and population"
"figures for years 2001 - 2009 differ slightly from previously published reports, due to use of the population estimates which"
"were available at the time of release."
"8. Beginning with the 2018 data, changes have been implemented that affect the counts for ICD-10 cause of death codes O00-O99"
"compared to previous practice. In addition, data for the cause of death codes O00-O99 for 2003 through 2017 reflect differences"
"in information available to individual states and probable errors. Caution should be used in interpreting these data. More"
"information can be found at: https://www.cdc.gov/nchs/maternal-mortality/."
"9. On March 11, 2021, the 2019 mortality data on CDC WONDER was updated with the 2019 mortality data updated by NCHS on March 4,"
"2021 to include corrected information for residents of Texas affecting 5 records previously coded to cause code *U01.4,"
"Terrorism involving firearms (homicide). The underlying and multiple cause of death codes for 5 records were corrected in the"
"2019 data. Underlying and multiple cause of death codes for those 5 records were recoded to Assault (homicide) by other and"
"unspecified firearm discharge, ICD-10 code X95. The corrected final death records replaces the data released on December 22,"
"2020."
"10. Changes to cause of death classification affect reporting trends. More information:"
"http://wonder.cdc.gov/wonder/help/mcd.html#ICD-10 Changes."
