"Notes","MCD - ICD Sub-Chapter","MCD - ICD Sub-Chapter Code","Year","Year Code","Ten-Year Age Groups","Ten-Year Age Groups Code","Sex","Sex Code",Deaths,Population,Crude Rate
,"Renal failure","N17-N19","2015","2015","45-54 years","45-54","Female","F",569,21889385,2.6
,"Renal failure","N17-N19","2015","2015","45-54 years","45-54","Male","M",635,21298776,3.0
"Total","Renal failure","N17-N19","2015","2015","45-54 years","45-54",,,1204,43188161,2.8
,"Renal failure","N17-N19","2015","2015","55-64 years","55-64","Female","F",1200,21163072,5.7
,"Renal failure","N17-N19","2015","2015","55-64 years","55-64","Male","M",1600,19714747,8.1
"Total","Renal failure","N17-N19","2015","2015","55-64 years","55-64",,,2800,40877819,6.8
,"Renal failure","N17-N19","2015","2015","65-74 years","65-74","Female","F",1845,14658169,12.6
,"Renal failure","N17-N19","2015","2015","65-74 years","65-74","Male","M",2183,12892348,16.9
"Total","Renal failure","N17-N19","2015","2015","65-74 years","65-74",,,4028,27550517,14.6
,"Renal failure","N17-N19","2015","2015","75-84 years","75-84","Female","F",2453,7899603,31.1
,"Renal failure","N17-N19","2015","2015","75-84 years","75-84","Male","M",2436,6023571,40.4
"Total","Renal failure","N17-N19","2015","2015","75-84 years","75-84",,,4889,13923174,35.1
,"Renal failure","N17-N19","2015","2015","85+ years","85+","Female","F",2769,4112863,67.3
,"Renal failure","N17-N19","2015","2015","85+ years","85+","Male","M",2018,2174298,92.8
"Total","Renal failure","N17-N19","2015","2015","85+ years","85+",,,4787,6287161,76.1
"Total","Renal failure","N17-N19","2015","2015",,,,,18244,216553817,8.4
,"Renal failure","N17-N19","2016","2016","25-34 years","25-34","Female","F",85,22077505,0.4
,"Renal failure","N17-N19","2016","2016","25-34 years","25-34","Male","M",79,22599738,0.3
"Total","Renal failure","N17-N19","2016","2016","25-34 years","25-34",,,164,44677243,0.4
,"Renal failure","N17-N19","2016","2016","35-44 years","35-44","Female","F",177,20317393,0.9
,"Renal failure","N17-N19","2016","2016","35-44 years","35-44","Male","M",256,20152763,1.3
"Total","Renal failure","N17-N19","2016","2016","35-44 years","35-44",,,433,40470156,1.1
,"Renal failure","N17-N19","2016","2016","45-54 years","45-54","Female","F",546,21680540,2.5
,"Renal failure","N17-N19","2016","2016","45-54 years","45-54","Male","M",691,21106139,3.3
"Total","Renal failure","N17-N19","2016","2016","45-54 years","45-54",,,1237,42786679,2.9
,"Renal failure","N17-N19","2016","2016","55-64 years","55-64","Female","F",1252,21464106,5.8
,"Renal failure","N17-N19","2016","2016","55-64 years","55-64","Male","M",1674,19999038,8.4
"Total","Renal failure","N17-N19","2016","2016","55-64 years","55-64",,,2926,41463144,7.1
,"Renal failure","N17-N19","2016","2016","65-74 years","65-74","Female","F",1858,15239221,12.2
,"Renal failure","N17-N19","2016","2016","65-74 years","65-74","Male","M",2250,13391109,16.8
"Total","Renal failure","N17-N19","2016","2016","65-74 years","65-74",,,4108,28630330,14.3
,"Renal failure","N17-N19","2016","2016","75-84 years","75-84","Female","F",2371,8056660,29.4
,"Renal failure","N17-N19","2016","2016","75-84 years","75-84","Male","M",2388,6176874,38.7
"Total","Renal failure","N17-N19","2016","2016","75-84 years","75-84",,,4759,14233534,33.4
,"Renal failure","N17-N19","2016","2016","85+ years","85+","Female","F",2513,4155488,60.5
,"Renal failure","N17-N19","2016","2016","85+ years","85+","Male","M",1958,2224843,88.0
"Total","Renal failure","N17-N19","2016","2016","85+ years","85+",,,4471,6380331,70.1
"Total","Renal failure","N17-N19","2016","2016",,,,,18098,218641417,8.3
,"Renal failure","N17-N19","2017","2017","25-34 years","25-34","Female","F",68,22351311,0.3
,"Renal failure","N17-N19","2017","2017","25-34 years","25-34","Male","M",116,22991361,0.5
"Total","Renal failure","N17-N19","2017","2017","25-34 years","25-34",,,184,45342672,0.4
,"Renal failure","N17-N19","2017","2017","35-44 years","35-44","Female","F",199,20506270,1.0
,"Renal failure","N17-N19","2017","2017","35-44 years","35-44","Male","M",238,20369100,1.2
"Total","Renal failure","N17-N19","2017","2017","35-44 years","35-44",,,437,40875370,1.1
,"Renal failure","N17-N19","2017","2017","45-54 years","45-54","Female","F",514,21468595,2.4
,"Renal failure","N17-N19","2017","2017","45-54 years","45-54","Male","M",692,20906357,3.3
"Total","Renal failure","N17-N19","2017","2017","45-54 years","45-54",,,1206,42374952,2.8
,"Renal failure","N17-N19","2017","2017","55-64 years","55-64","Female","F",1287,21737855,5.9
,"Renal failure","N17-N19","2017","2017","55-64 years","55-64","Male","M",1654,20257803,8.2
"Total","Renal failure","N17-N19","2017","2017","55-64 years","55-64",,,2941,41995658,7.0
,"Renal failure","N17-N19","2017","2017","65-74 years","65-74","Female","F",1957,15806306,12.4
,"Renal failure","N17-N19","2017","2017","65-74 years","65-74","Male","M",2339,13877140,16.9
"Total","Renal failure","N17-N19","2017","2017","65-74 years","65-74",,,4296,29683446,14.5
,"Renal failure","N17-N19","2017","2017","75-84 years","75-84","Female","F",2384,8298676,28.7
,"Renal failure","N17-N19","2017","2017","75-84 years","75-84","Male","M",2423,6407875,37.8
"Total","Renal failure","N17-N19","2017","2017","75-84 years","75-84",,,4807,14706551,32.7
,"Renal failure","N17-N19","2017","2017","85+ years","85+","Female","F",2557,4189013,61.0
,"Renal failure","N17-N19","2017","2017","85+ years","85+","Male","M",2014,2279669,88.3
"Total","Renal failure","N17-N19","2017","2017","85+ years","85+",,,4571,6468682,70.7
"Total","Renal failure","N17-N19","2017","2017",,,,,18442,221447331,8.3
"Total","Renal failure","N17-N19",,,,,,,135650,1700848115,8.0
"Total",,,,,,,,,270184,1700848115,15.9
"---"
"Dataset: Multiple Cause of Death, 1999-2020"
"Query Parameters:"
"MCD - ICD-10 Codes: N17.0 (Acute renal failure with tubular necrosis); N17.1 (Acute renal failure with acute cortical necrosis);"
"N17.2 (Acute renal failure with medullary necrosis); N17.8 (Other acute renal failure); N17.9 (Acute renal failure, unspecified)"
"MCD - ICD-10 Codes: AND"
"MCD - ICD-10 Codes: A40.0 (Septicaemia due to streptococcus, group A); A40.1 (Septicaemia due to streptococcus, group B); A40.2"
"(Septicaemia due to streptococcus, group D); A40.3 (Septicaemia due to Streptococcus pneumoniae); A40.8 (Other streptococcal"
"septicaemia); A40.9 (Streptococcal septicaemia, unspecified); A41.0 (Septicaemia due to Staphylococcus aureus); A41.1"
"(Septicaemia due to other specified staphylococcus); A41.2 (Septicaemia due to unspecified staphylococcus); A41.3 (Septicaemia"
"due to Haemophilus influenzae); A41.4 (Septicaemia due to anaerobes); A41.5 (Septicaemia due to other Gram-negative organisms);"
"A41.8 (Other specified septicaemia); A41.9 (Septicaemia, unspecified)"
"Ten-Year Age Groups: 25-34 years; 35-44 years; 45-54 years; 55-64 years; 65-74 years; 75-84 years; 85+ years"
"Year/Month: 2010; 2011; 2012; 2013; 2014; 2015; 2016; 2017"
"Group By: MCD - ICD Sub-Chapter; Year; Ten-Year Age Groups; Sex"
"Show Totals: True"
"Show Zero Values: False"
"Show Suppressed: False"
"Calculate Rates Per: 100,000"
"Rate Options: Default intercensal populations for years 2001-2009 (except Infant Age Groups)"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/mcd.html for more information."
"---"
"Query Date: Jan 11, 2026 5:54:20 PM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Mortality 1999-2020 on CDC WONDER Online Database, released in 2021. Data are from the Multiple Cause of Death Files,"
"1999-2020, as compiled from data provided by the 57 vital statistics jurisdictions through the Vital Statistics Cooperative"
"Program. Accessed at http://wonder.cdc.gov/mcd-icd10.html on Jan 11, 2026 5:54:20 PM"
"---"
Footnotes:
"1. Totals and sub-totals show the frequency of the selected causes of death, which may be greater than the number of deaths."
"Note that any single death record may have up to 20 causes. More information."
"---"
Caveats:
"1. As of April 3, 2017, the underlying cause of death has been revised for 125 deaths in 2014. More information:"
"http://wonder.cdc.gov/wonder/help/mcd.html#2014-Revision."
"2. These items in the results table are not fully selected: Other bacterial diseases, Renal failure. The Query Description lists"
"the actual values selected."
"3. Deaths of persons with Age ""Not Stated"" are included in ""All"" counts and rates, but are not distributed among age groups,"
"so are not included in age-specific counts, age-specific rates or in any age-adjusted rates. More information:"
"http://wonder.cdc.gov/wonder/help/mcd.html#Not Stated."
"4. The population figures for year 2020 are bridged-race estimates of the July 1 resident population, from the Vintage 2020"
"postcensal series released by NCHS on September 22, 2021. The population figures for year 2019 are bridged-race estimates of the"
"July 1 resident population, from the Vintage 2019 postcensal series released by NCHS on July 9, 2020. The population figures for"
"year 2018 are bridged-race estimates of the July 1 resident population, from the Vintage 2018 postcensal series released by NCHS"
"on June 25, 2019. The population figures for year 2017 are bridged-race estimates of the July 1 resident population, from the"
"Vintage 2017 postcensal series released by NCHS on June 27, 2018. The population figures for year 2016 are bridged-race"
"estimates of the July 1 resident population, from the Vintage 2016 postcensal series released by NCHS on June 26, 2017. The"
"population figures for year 2015 are bridged-race estimates of the July 1 resident population, from the Vintage 2015 postcensal"
"series released by NCHS on June 28, 2016. The population figures for year 2014 are bridged-race estimates of the July 1 resident"
"population, from the Vintage 2014 postcensal series released by NCHS on June 30, 2015. The population figures for year 2013 are"
"bridged-race estimates of the July 1 resident population, from the Vintage 2013 postcensal series released by NCHS on June 26,"
"2014. The population figures for year 2012 are bridged-race estimates of the July 1 resident population, from the Vintage 2012"
"postcensal series released by NCHS on June 13, 2013. Population figures for 2011 are bridged-race estimates of the July 1"
"resident population, from the county-level postcensal Vintage 2011 series released by NCHS on July 18, 2012. Population figures"
"for 2010 are April 1 Census counts. The population figures for years 2001 - 2009, are bridged-race estimates of the July 1"
"resident population, from the revised intercensal county-level 2000 - 2009 series released by NCHS on October 26, 2012."
"Population figures for 2000 are April 1 Census counts. Population figures for 1999 are from the 1990-1999 intercensal series of"
"July 1 estimates. Population figures for Infant Age Groups are the number of live births. <br/><b>Note:</b> Rates and population"
"figures for years 2001 - 2009 differ slightly from previously published reports, due to use of the population estimates which"
"were available at the time of release."
"5. Beginning with the 2018 data, changes have been implemented that affect the counts for ICD-10 cause of death codes O00-O99"
"compared to previous practice. In addition, data for the cause of death codes O00-O99 for 2003 through 2017 reflect differences"
"in information available to individual states and probable errors. Caution should be used in interpreting these data. More"
"information can be found at: https://www.cdc.gov/nchs/maternal-mortality/."
"6. On March 11, 2021, the 2019 mortality data on CDC WONDER was updated with the 2019 mortality data updated by NCHS on March 4,"
"2021 to include corrected information for residents of Texas affecting 5 records previously coded to cause code *U01.4,"
"Terrorism involving firearms (homicide). The underlying and multiple cause of death codes for 5 records were corrected in the"
"2019 data. Underlying and multiple cause of death codes for those 5 records were recoded to Assault (homicide) by other and"
"unspecified firearm discharge, ICD-10 code X95. The corrected final death records replaces the data released on December 22,"
"2020."
"7. Changes to cause of death classification affect reporting trends. More information:"
"http://wonder.cdc.gov/wonder/help/mcd.html#ICD-10 Changes."
